Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
Which drug is a first-line treatment for anaphylaxis?,Epinephrine,Aspirin,Penicillin,Ibuprofen,A,2
Dummy Pharmacology Question 2,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 3,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 4,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 5,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 6,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 7,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 8,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 9,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 10,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 11,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 12,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 13,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 14,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 15,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 16,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 17,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 18,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 19,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Question 20,Option A,Option B,Option C,Option D,A,2
