Fictitious Code,Marks
AK-4CD-194,61
AK-FDT-714,83
AK-34F-401,55
AK-Y5S-409,58
AK-N80-345,88
AK-2RR-969,60
AK-GYE-502,95
AK-CG0-882,55
AK-46G-978,58
AK-WLK-902,55
AK-TKH-108,56
AK-FBA-953,79
AK-EX6-394,90
AK-163-126,71
AK-A0L-167,79
AK-B9E-751,72
AK-3M9-324,90
AK-FMG-921,64
AK-BQ5-290,53
AK-M68-833,78
AK-IZL-780,82
AK-02K-681,76
AK-PE3-806,64
AK-BRK-542,64
AK-EO6-844,54
AK-3NQ-407,93
AK-XGH-661,68
AK-1DH-153,56
AK-AW9-264,98
AK-3UF-422,68
AK-KYQ-648,81
AK-QDV-757,64
AK-5IJ-669,61
AK-OHT-778,90
AK-CN1-900,63
AK-ZA0-860,56
AK-AMO-732,69
AK-F6S-414,93
AK-30B-239,83
AK-7MN-696,62
AK-YMG-776,85
AK-IN5-302,68
AK-Q47-251,54
AK-SX5-262,92
AK-64R-594,51
AK-BXK-443,61
AK-B22-753,64
AK-ANN-344,92
AK-8KB-307,62
AK-0VY-366,91
