Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
What is the longest bone in the human body?,Tibia,Fibula,Femur,Humerus,C,2
Which artery is the primary blood supply to the brain?,Carotid,Femoral,Radial,Ulnar,A,2
How many pairs of cranial nerves exist in humans?,10,12,14,31,B,2
Describe the structural features of a typical cervical vertebra.,,,,Subjective,5
Dummy Anatomy First Prof Question 5,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 6,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 7,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 8,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 9,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 10,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 11,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 12,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 13,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 14,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 15,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 16,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 17,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 18,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 19,Option A,Option B,Option C,Option D,A,2
Dummy Anatomy First Prof Question 20,Option A,Option B,Option C,Option D,A,2
