Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
What is the most common cause of acute appendicitis?,Fecalith obstruction,Viral infection,Gallstones,Tumor,A,2
Which incision is classically used for an open appendectomy?,Kocher,McBurney,Pfannenstiel,Midline,B,2
What is the first step in the primary survey of a trauma patient?,Airway maintenance,Breathing,Circulation,Disability,A,2
Discuss the surgical management of an inguinal hernia.,,,,Subjective,5
Dummy General Surgery Final Year Question 5,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 6,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 7,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 8,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 9,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 10,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 11,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 12,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 13,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 14,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 15,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 16,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 17,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 18,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 19,Option A,Option B,Option C,Option D,A,2
Dummy General Surgery Final Year Question 20,Option A,Option B,Option C,Option D,A,2
