Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
Which drug is a first-line treatment for anaphylaxis?,Epinephrine,Aspirin,Penicillin,Ibuprofen,A,2
What is the primary mechanism of action of SSRIs?,Block sodium channels,Inhibit serotonin reuptake,Increase dopamine,Block histamine receptors,B,2
Which antibiotic is contraindicated in pregnancy?,Amoxicillin,Cephalexin,Tetracycline,Erythromycin,C,2
Describe the pharmacokinetics of paracetamol.,,,,Subjective,5
Dummy Pharmacology Second Prof Question 5,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 6,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 7,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 8,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 9,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 10,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 11,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 12,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 13,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 14,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 15,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 16,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 17,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 18,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 19,Option A,Option B,Option C,Option D,A,2
Dummy Pharmacology Second Prof Question 20,Option A,Option B,Option C,Option D,A,2
