Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
What is the normal resting heart rate for adults?,40-50 bpm,60-100 bpm,110-130 bpm,140-160 bpm,B,2
Which hormone regulates blood sugar levels?,Thyroxine,Insulin,Cortisol,Adrenaline,B,2
What is the primary function of red blood cells?,Immunity,Clotting,Oxygen Transport,Digestion,C,2
Explain the sliding filament theory of muscle contraction.,,,,Subjective,5
Dummy Physiology First Prof Question 5,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 6,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 7,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 8,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 9,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 10,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 11,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 12,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 13,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 14,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 15,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 16,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 17,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 18,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 19,Option A,Option B,Option C,Option D,A,2
Dummy Physiology First Prof Question 20,Option A,Option B,Option C,Option D,A,2
